587;118
580;114
575;111
570;108
566;109
562;94
560;107
552;81
549;70
546;58
543;45
540;32
537;22
534;18
523;2
522;1
521;1
519;0
519;1
519;0
518;2
514;1
514;0
512;2
511;0
511;0
511;0
511;2
505;1
506;0
505;1
505;0
505;0
506;0
506;2
505;1
506;0
506;0
506;0
506;0
505;0
505;0
503;0
502;0
501;2
499;1
498;0
496;1
496;0
494;2
492;1
492;1
491;0
490;0
489;1
487;1
482;2
482;3
481;0
480;1
481;0
482;1
483;0
489;0
490;2
489;0
489;0
488;0
488;0
488;1
495;0
494;0
493;0
492;1
491;1
490;0
490;0
493;0
494;0
495;0
495;0
496;3
496;1
496;0
494;0
494;1
494;0
493;0
493;0
492;0
492;3
494;0
494;0
494;0
493;1
493;0
492;0
492;3
491;1
491;0
492;0
491;0
491;2
488;0
486;3
475;0
473;2
471;2
470;0
468;0
466;1
466;0
461;0
459;1
457;1
458;0
459;0
458;0
457;2
451;2
451;2
451;0
451;0
451;0
450;0
446;0
450;9
452;15
452;22
453;30
454;38
456;50
458;60
475;113
478;121
481;124
484;133
485;131
486;130
488;134
501;187
504;191
508;201
512;209
517;206
520;195
524;184
537;187
539;192
540;197
542;209
543;217
546;228
548;242
556;228
558;211
558;197
557;196
557;198
558;220
558;234
565;2
567;3
568;21
569;44
568;252
568;46
569;32
